Updated at,Company,Crunchbase Url,Last Valuation (Billion $),Date Joined,Year Joined,City,Country,Industry,Investors,Company Website
"6/1/2023, 2:12:13 AM",Nexthink,https://www.cbinsights.com/company/nexthink,1.1,2/8/2021,2021,Prilly,Switzerland,Data management & analytics,"[""Auriga"",""Galeo Ventures"",""Highland Europe""]",
"6/1/2023, 2:12:13 AM",Sennder,https://www.cbinsights.com/company/sennder,1.1,1/14/2021,2021,Berlin,Germany,"Supply chain, logistics, & delivery","[""Accelm Scania Growth Capital"",""Lakestar""]",
"6/1/2023, 2:12:11 AM",At-Bay,https://www.cbinsights.com/company/at-bay,1.12,7/27/2021,2021,Mountain View,United States,Fintech,"[""Lightspeed Venture Partners"",""Khosla Ventures"",""Munich Re Ventures""]",
"6/1/2023, 2:12:10 AM",Elemy,https://www.cbinsights.com/company/elemy,1.15,10/6/2021,2021,San Francisco,United States,Health,"[""General Catalyst"",""Bling Capital"",""Felicis Ventures""]",
"6/1/2023, 2:12:10 AM",Rebellion Defense,https://www.cbinsights.com/company/rebellion-defense,1.15,9/16/2021,2021,Washington DC,United States,Artificial intelligence,"[""Venrock"",""Innovation Endeavors"",""Insights Partners""]",
"6/1/2023, 2:12:10 AM",Guideline,https://www.cbinsights.com/company/guideline-technologies,1.15,6/16/2021,2021,San Mateo,United States,Fintech,"[""Pelion Venture Partners"",""Foundation Capital"",""Thoma Bravo""]",
"6/1/2023, 2:12:09 AM",IRL,https://www.cbinsights.com/company/get-together,1.17,6/15/2021,2021,San Francisco,United States,Internet software & services,"[""Goodwater Capital"",""Floodgate"",""Founders Fund""]",
"6/1/2023, 2:12:09 AM",Modern Health,https://www.cbinsights.com/company/modern-health,1.17,2/11/2021,2021,San Francisco,United States,Health,"[""Kleiner Perkins Caufield & Byers"",""Afore Capital"",""Founders Fund""]",
"6/1/2023, 2:12:08 AM",CloudBees,https://www.cbinsights.com/company/cloudbees,1.15,12/9/2021,2021,San Jose,United States,Data management & analytics,"[""Matrix Partners"",""Lightspeed Venture Partners"",""Verizon Ventures""]",
"6/1/2023, 2:12:05 AM",Merama,https://www.cbinsights.com/company/merama,1.2,12/9/2021,2021,Mexico City,Mexico,E-commerce & direct-to-consumer,"[""SoftBank Latin America Fund"",""Advent International"",""Balderton Capital""]",
"6/1/2023, 2:12:05 AM",Pristyn Care,https://www.cbinsights.com/company/pristyn-care,1.4,12/7/2021,2021,Gurugram,India,Health,"[""Sequoia Capital India"",""Hummingbird Ventures"",""Epiq Capital""]",
"6/1/2023, 2:12:05 AM",AgentSync,https://www.cbinsights.com/company/agentsync,1.2,12/7/2021,2021,Denver,United States,Fintech,"[""Craft Ventures"",""Caffeinated Capital"",""Operator Collective""]",
"6/1/2023, 2:12:05 AM",MyGlamm,https://www.cbinsights.com/company/myglamm,1.2,11/10/2021,2021,Mumbai,India,E-commerce & direct-to-consumer,"[""L'Occitane"",""Trifecta Capital"",""Bessemer Venture Partners""]",
"6/1/2023, 2:12:05 AM",CarDekho,https://www.cbinsights.com/company/cardekho,1.2,10/13/2021,2021,Jaipur,India,E-commerce & direct-to-consumer,"[""Sequoia Capital India"",""Hillhouse Capital Management"",""Sunley House Capital Management""]",
"6/1/2023, 2:12:05 AM",Gem,https://www.cbinsights.com/company/gem-1,1.2,9/28/2021,2021,San Francisco,United States,Internet software & services,"[""Accel"",""Greylock Partners"",""Meritech Capital Partners""]",
"6/1/2023, 2:12:04 AM",Copado,https://www.cbinsights.com/company/copado,1.2,9/13/2021,2021,Chicago,United States,Data management & analytics,"[""Insight Partners"",""Salesforce Ventures"",""Perpetual Investors""]",
"6/1/2023, 2:12:04 AM",Offchain Labs,https://www.cbinsights.com/company/offchain-labs,1.2,8/31/2021,2021,Princeton,United States,Internet software & services,"[""Pantera Capital"",""Polychain Capital"",""Lightspeed Venture Partners""]",
"6/1/2023, 2:12:04 AM",DailyPay,https://www.cbinsights.com/company/dailypay,1.2,5/18/2021,2021,New York,United States,Fintech,"[""RPM Ventures"",""Inspiration Ventures"",""Carrick Capital Partners""]",
